,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
,BNB-USD,BTC-USD,ETH-USD,BNB-USD,BTC-USD,ETH-USD,BNB-USD,BTC-USD,ETH-USD,BNB-USD,BTC-USD,ETH-USD,BNB-USD,BTC-USD,ETH-USD,BNB-USD,BTC-USD,ETH-USD
2022-02-24 19:00:00+00:00,357.42401123046875,37159.109375,2576.796630859375,357.42401123046875,37159.109375,2576.796630859375,357.510986328125,37205.52734375,2576.796630859375,350.4046630859375,36381.0625,2521.847900390625,351.6418151855469,36518.23046875,2531.46630859375,74960896,2044432384,922890240
2022-02-24 20:00:00+00:00,363.6714172363281,38360.78125,2646.35888671875,363.6714172363281,38360.78125,2646.35888671875,367.774169921875,38968.83984375,2689.047607421875,357.8578186035156,37188.7109375,2579.092529296875,357.8578186035156,37188.7109375,2579.092529296875,161466880,5194022912,2679027712
2022-02-24 21:00:00+00:00,363.02423095703125,38477.8203125,2638.1640625,363.02423095703125,38477.8203125,2638.1640625,364.2601013183594,38503.890625,2647.505859375,361.20928955078125,38273.5859375,2627.033203125,363.6980895996094,38365.328125,2645.586669921875,39166208,691122176,240543744
2022-02-24 22:00:00+00:00,353.9519958496094,37847.046875,2558.6689453125,353.9519958496094,37847.046875,2558.6689453125,362.7104797363281,38450.7421875,2636.711669921875,353.9519958496094,37847.046875,2558.6689453125,362.7104797363281,38450.7421875,2636.711669921875,0,0,0
2022-02-24 23:00:00+00:00,361.04473876953125,38322.6171875,2597.194580078125,361.04473876953125,38322.6171875,2597.194580078125,361.04473876953125,38326.953125,2599.255126953125,354.17462158203125,37857.73046875,2560.261962890625,354.17462158203125,37857.73046875,2560.261962890625,44709888,280858624,233369600
2022-02-25 00:00:00+00:00,360.8515930175781,38303.86328125,2591.0361328125,360.8515930175781,38303.86328125,2591.0361328125,364.2305603027344,38675.14453125,2624.710205078125,360.619384765625,38296.26953125,2591.0361328125,361.21600341796875,38333.74609375,2598.436279296875,0,0,0
2022-02-25 01:00:00+00:00,364.6695861816406,38489.75390625,2624.0859375,364.6695861816406,38489.75390625,2624.0859375,366.3401184082031,38781.53125,2637.7509765625,360.8012390136719,38223.984375,2588.509765625,360.9928894042969,38305.0,2590.654296875,31849472,434204672,119166976
2022-02-25 02:00:00+00:00,366.1160888671875,38768.55859375,2642.1162109375,366.1160888671875,38768.55859375,2642.1162109375,366.5343933105469,38768.55859375,2644.100341796875,364.86541748046875,38512.90234375,2625.1865234375,364.86541748046875,38512.90234375,2625.1865234375,0,144568320,89534464
2022-02-25 03:00:00+00:00,366.19476318359375,38884.828125,2634.57861328125,366.19476318359375,38884.828125,2634.57861328125,366.19476318359375,38884.828125,2640.51171875,362.8281555175781,38580.45703125,2613.939208984375,365.9316711425781,38762.71875,2640.51171875,0,0,0
2022-02-25 04:00:00+00:00,363.7156066894531,38773.87109375,2623.3916015625,363.7156066894531,38773.87109375,2623.3916015625,366.33514404296875,38891.0234375,2635.338134765625,362.8412170410156,38696.1875,2617.7734375,366.2418212890625,38890.68359375,2634.77734375,0,0,0
